"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
NA,"spd","forsa",2024-11-05,16,NA,NA,NA,NA
NA,"spd","insa",2024-11-05,15.5,NA,NA,NA,NA
NA,"oth","insa",2024-11-05,8,NA,NA,NA,NA
NA,"oth","forsa",2024-11-05,13,NA,NA,NA,NA
NA,"lin","insa",2024-11-05,3.5,NA,NA,NA,NA
NA,"lin","forsa",2024-11-05,3,NA,NA,NA,NA
NA,"gru","forsa",2024-11-05,10,NA,NA,NA,NA
NA,"gru","insa",2024-11-05,10.5,NA,NA,NA,NA
NA,"fdp","forsa",2024-11-05,3,NA,NA,NA,NA
NA,"fdp","insa",2024-11-05,4.5,NA,NA,NA,NA
NA,"cdu","insa",2024-11-05,32,NA,NA,NA,NA
NA,"cdu","forsa",2024-11-05,33,NA,NA,NA,NA
NA,"bsw","insa",2024-11-05,8,NA,NA,NA,NA
NA,"bsw","forsa",2024-11-05,6,NA,NA,NA,NA
NA,"afd","insa",2024-11-05,18,NA,NA,NA,NA
NA,"afd","forsa",2024-11-05,16,NA,NA,NA,NA
NA,"spd","insa",2024-11-02,16,NA,NA,NA,NA
NA,"oth","insa",2024-11-02,8,NA,NA,NA,NA
NA,"lin","insa",2024-11-02,4,NA,NA,NA,NA
NA,"gru","insa",2024-11-02,10,NA,NA,NA,NA
NA,"fdp","insa",2024-11-02,4,NA,NA,NA,NA
NA,"cdu","insa",2024-11-02,32,NA,NA,NA,NA
NA,"bsw","insa",2024-11-02,8,NA,NA,NA,NA
NA,"afd","insa",2024-11-02,18,NA,NA,NA,NA
NA,"spd","emnid",2024-11-01,16,NA,NA,NA,NA
NA,"oth","emnid",2024-11-01,10,NA,NA,NA,NA
NA,"lin","emnid",2024-11-01,3,NA,NA,NA,NA
NA,"gru","emnid",2024-11-01,11,NA,NA,NA,NA
NA,"fdp","emnid",2024-11-01,3,NA,NA,NA,NA
NA,"cdu","emnid",2024-11-01,32,NA,NA,NA,NA
NA,"bsw","emnid",2024-11-01,8,NA,NA,NA,NA
NA,"afd","emnid",2024-11-01,17,NA,NA,NA,NA
NA,"spd","infratest",2024-10-31,16,NA,NA,NA,NA
NA,"oth","infratest",2024-10-31,12,NA,NA,NA,NA
NA,"lin","infratest",2024-10-31,NA,NA,NA,NA,NA
NA,"gru","infratest",2024-10-31,11,NA,NA,NA,NA
NA,"fdp","infratest",2024-10-31,4,NA,NA,NA,NA
NA,"cdu","infratest",2024-10-31,34,NA,NA,NA,NA
NA,"bsw","infratest",2024-10-31,6,NA,NA,NA,NA
NA,"afd","infratest",2024-10-31,17,NA,NA,NA,NA
NA,"spd","forsa",2024-10-29,16,NA,NA,NA,NA
NA,"oth","forsa",2024-10-29,12,NA,NA,NA,NA
NA,"lin","forsa",2024-10-29,3,NA,NA,NA,NA
NA,"gru","forsa",2024-10-29,9,NA,NA,NA,NA
NA,"fdp","forsa",2024-10-29,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-10-29,32,NA,NA,NA,NA
NA,"bsw","forsa",2024-10-29,7,NA,NA,NA,NA
NA,"afd","forsa",2024-10-29,17,NA,NA,NA,NA
NA,"spd","insa",2024-10-28,15,NA,NA,NA,NA
NA,"oth","insa",2024-10-28,8.5,NA,NA,NA,NA
NA,"lin","insa",2024-10-28,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-10-28,11,NA,NA,NA,NA
NA,"fdp","insa",2024-10-28,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-28,31,NA,NA,NA,NA
NA,"bsw","insa",2024-10-28,9,NA,NA,NA,NA
NA,"afd","insa",2024-10-28,19,NA,NA,NA,NA
NA,"spd","insa",2024-10-26,15,NA,NA,NA,NA
NA,"oth","insa",2024-10-26,9,NA,NA,NA,NA
NA,"lin","insa",2024-10-26,3,NA,NA,NA,NA
NA,"gru","insa",2024-10-26,11,NA,NA,NA,NA
NA,"fdp","insa",2024-10-26,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-26,30,NA,NA,NA,NA
NA,"bsw","insa",2024-10-26,9,NA,NA,NA,NA
NA,"afd","insa",2024-10-26,19,NA,NA,NA,NA
NA,"spd","forsa",2024-10-22,16,NA,NA,NA,NA
NA,"oth","forsa",2024-10-22,12,NA,NA,NA,NA
