wkr,winner_pure_proportional,winner_pure_uniform,actual_margin,actual_winner,actual_runnerup,land,resp_E_actual_winner,error_pure_proportional,error_pure_uniform,year
270,cdu,cdu,1.1932955150401048e-4,spd,cdu,MV,0.357272677204384,0.05143046513415567,0.07374123768381685,1998
167,cdu,cdu,2.1409874786698646e-4,cdu,spd,BW,0.423584013039304,-0.011866601422471534,-0.008842000389681248,1998
221,cdu,cdu,8.724493474660533e-4,cdu,spd,BY,0.470762131372125,-0.0013438783665324916,0.046723157523664904,1998
64,spd,spd,0.0012272620288489855,spd,cdu,NW,0.445748293601426,-0.007368806828603913,-0.0022185635256029013,1998
80,cdu,cdu,0.0014266617239019896,cdu,spd,NW,0.445916040395871,-0.003885050445175009,0.0014533066692570262,1998
187,cdu,cdu,0.0015440402386239782,cdu,spd,BW,0.417920224587671,0.010958130557898738,0.006899712310898809,1998
66,cdu,spd,0.0020970116124209848,spd,cdu,NW,0.449332928339447,-0.014034231654313833,-0.00460776358367182,1998
249,spd,spd,0.0022342752027029733,lin,spd,BE,0.366492187931756,0.03184425895712295,0.024315492051696586,1998
256,cdu,cdu,0.0033968307484819604,spd,cdu,BE,0.424460552933243,0.03137395063421189,0.038537457478880544,1998
266,cdu,cdu,0.0038497829779209902,spd,cdu,MV,0.356095489715041,0.055092819144962,0.07453263010676625,1998
142,cdu,cdu,0.0039669053124209985,spd,cdu,HE,0.434509847619578,-0.011370469627411617,-0.008013526179949493,1998
32,cdu,cdu,0.004260233542923042,cdu,spd,NI,0.459181316566149,-0.0069085184235228025,0.002915146449368522,1998
2,spd,spd,0.006218923715514024,spd,cdu,SH,0.461542410419631,-0.025521308396616593,-0.012172832891301888,1998
323,cdu,cdu,0.008275836589172969,spd,cdu,SN,0.324050726444808,0.06104758076251421,0.07666593270120642,1998
322,cdu,cdu,0.00869152644933302,spd,cdu,SN,0.366605010004882,0.09293127159234887,0.12316281841728965,1998
206,cdu,cdu,0.00904901974990202,spd,cdu,BY,0.419862924376567,-0.020350533063798526,0.01047206131258216,1998
79,cdu,spd,0.009379772769604,spd,cdu,NW,0.45680759918048103,-0.02033579051297435,-0.005885070650212099,1998
118,cdu,cdu,0.010536114982485023,spd,cdu,NW,0.454554259915948,-0.012531827222292458,-0.005313567672795061,1998
140,cdu,cdu,0.012679496284490999,spd,cdu,HE,0.388993781503871,-0.0017927417463791118,-0.0023819668322662135,1998
146,spd,spd,0.013429019135458964,spd,cdu,RP,0.455331029660217,-8.471141938645732e-4,0.017607293454995232,1998
172,spd,cdu,0.013840110768426006,cdu,spd,BW,0.371929949666922,0.005035714643879086,0.02773159350129134,1998
327,cdu,cdu,0.014744751548104007,cdu,spd,SN,0.345428686502542,0.09306929704106476,0.12651536130630264,1998
145,spd,spd,0.015125508882596006,spd,cdu,HE,0.453715694961675,-0.01925136811979411,-0.01828033186828043,1998
139,cdu,cdu,0.015970289466983978,spd,cdu,HE,0.417229299642666,-0.0109501127174777,-0.018871743394254348,1998
76,cdu,cdu,0.01602464347562399,cdu,spd,NW,0.459335871100577,-0.018047152518294696,-0.015866201091070675,1998
152,spd,spd,0.01718338646038403,spd,cdu,RP,0.452480051976529,-0.01950281287715927,0.0038625734266950484,1998
261,spd,spd,0.01801964486032498,lin,spd,BE,0.357640427918685,-0.005700066823421224,0.028601101464343026,1998
324,cdu,cdu,0.018353622339863984,spd,cdu,SN,0.357501240109618,0.05485631983650541,0.07930331100800075,1998
307,cdu,cdu,0.01847560671749704,spd,cdu,TH,0.336092838989386,0.06442386800265859,0.07747364332206291,1998
137,spd,spd,0.019375795255878014,spd,cdu,HE,0.4507381009031,-0.025821648895057725,-0.02697567655379124,1998
63,cdu,cdu,0.019898569159127966,cdu,spd,NW,0.428487981700959,-0.026307648149857144,-0.035764645867536526,1998
136,spd,spd,0.02046176316882603,spd,cdu,HE,0.442339903788173,-0.02954612241436283,-0.036635037575269425,1998
74,spd,spd,0.022438012101527016,spd,cdu,NW,0.446752719459999,-0.012728851653698414,-0.010205073793868591,1998
182,cdu,cdu,0.02327765435856899,cdu,spd,BW,0.442372584959552,-0.0034861254961121024,0.0038859719759197775,1998
148,cdu,cdu,0.02340274521235397,cdu,spd,RP,0.462351554479664,-0.01724057957568642,0.004734353350436926,1998
99,spd,spd,0.02369932138506997,cdu,spd,NW,0.4421495272896,-0.02969313011266067,-0.037242403833133375,1998
308,cdu,cdu,0.024697951254248007,spd,cdu,SN,0.352350214007632,0.08600426703915132,0.10539756097529102,1998
101,cdu,cdu,0.025794341593376013,cdu,spd,NW,0.460433034114934,-0.03186027283673443,-0.016076054857338873,1998
8,cdu,cdu,0.025898417062486023,spd,cdu,SH,0.467294849041312,-0.028932757738175885,-0.023363561308200942,1998
230,spd,spd,0.02648415309766905,spd,cdu,BY,0.454610647093563,-0.0272317475815943,-0.017347239271268633,1998
72,spd,spd,0.02652488554127902,spd,cdu,NW,0.459518534928371,-0.014181153304136274,-0.007075855630225114,1998
9,spd,spd,0.02765946676886799,spd,cdu,SH,0.480023718444706,-0.03627002255111422,-0.024536056922414784,1998
259,spd,spd,0.027895875289027983,spd,lin,BE,0.376282403357812,0.015625087953157868,0.04240093903002795,1998
170,spd,cdu,0.02798749699446995,spd,cdu,BW,0.425432796345275,-0.028436821104961596,-0.029757962508092595,1998
60,spd,spd,0.028519605385397995,spd,cdu,NW,0.444781973957796,-0.015191628868493567,-0.02782106221335917,1998
204,spd,spd,0.028566847063540013,spd,cdu,BY,0.449308478653037,-0.021626374339665744,-0.03231450206334763,1998
120,spd,spd,0.029555673570543006,spd,cdu,NW,0.464365374402549,0.007266188501463489,0.029679203226197715,1998
311,cdu,cdu,0.030255315674678984,spd,cdu,SN,0.376441909560633,0.06379938595064777,0.08779145603923066,1998
153,spd,spd,0.03042850264804997,spd,cdu,RP,0.471702607505765,-0.009624408302596588,0.012835124921908858,1998
183,cdu,cdu,0.03053366762177695,spd,cdu,BW,0.436520639326648,-0.03835499550298116,-0.020389668625375945,1998
73,spd,spd,0.03067271793590698,spd,cdu,NW,0.468112864498758,-0.02172317909153343,0.002108417326085521,1998
171,cdu,spd,0.03199999999999997,cdu,spd,BW,0.437503916449086,-0.03433404210413915,-0.028899598114566827,1998
253,cdu,cdu,0.032611681812549975,spd,cdu,BE,0.427006178658579,-0.0026448657207717163,-0.0020532815072466515,1998
288,cdu,cdu,0.03279103344596096,spd,cdu,ST,0.374737656847714,0.006499073132555655,0.027099493293475274,1998
173,cdu,cdu,0.03302340258463199,cdu,spd,BW,0.418377156611652,0.02436597258411155,0.01880673561108781,1998
265,spd,spd,0.03308434460863502,spd,lin,MV,0.368106784492148,-0.005800692411587038,0.018589965852262746,1998
144,spd,spd,0.03316008159705697,spd,cdu,HE,0.449079527057845,-0.017751956623732246,-0.010585501782069129,1998
228,cdu,cdu,0.03453484279680896,cdu,spd,BY,0.460061297512905,-0.0243104753052088,-0.02178074554096554,1998
58,cdu,cdu,0.034996117911280045,cdu,spd,NW,0.467549385900462,-0.03942434084756974,-0.029677362280538078,1998
56,spd,spd,0.03661440203975802,spd,cdu,NW,0.470756597654029,-0.0032635828710889103,0.0016374979605885964,1998
162,cdu,cdu,0.03670199191414397,cdu,spd,BW,0.377019784824918,0.008165313113925043,-0.017017453693983053,1998
185,spd,spd,0.037696215723312,spd,cdu,BW,0.414848346685773,-0.03179590026881829,-0.03552405107760681,1998
168,cdu,cdu,0.03824883474879198,cdu,spd,BW,0.428486460209888,-0.03450292609464395,-0.01776170293093765,1998
269,cdu,cdu,0.03906399953266804,spd,cdu,MV,0.361606956579793,0.023922000309778868,0.029240916958945706,1998
328,cdu,cdu,0.03926175534052595,spd,cdu,SN,0.377426036417597,0.052120016843777484,0.09035884485126233,1998
174,cdu,cdu,0.04064882310388901,cdu,spd,BW,0.442167937232207,-9.460447594838994e-4,0.0031297740409412245,1998
81,cdu,cdu,0.04188899216266795,cdu,spd,NW,0.473206191836782,-0.021893510862370902,0.005297170002762364,1998
314,cdu,cdu,0.04216839134524897,cdu,spd,SN,0.360912511759172,0.09275405039423934,0.11532404571296878,1998
10,cdu,cdu,0.04262253366739699,spd,cdu,SH,0.47058506890072,-0.04258157996821915,-0.03427982987468248,1998
30,cdu,cdu,0.04326469783144299,spd,cdu,NI,0.469904802457496,-0.02910888574924758,-0.012541206636177138,1998
67,cdu,cdu,0.04380244204709399,cdu,spd,NW,0.461801534575351,-0.026768261886923994,-0.034037528000473216,1998
3,spd,spd,0.044852836038802024,spd,cdu,SH,0.487782117565605,-0.03106336142917504,-0.01997654648214986,1998
138,cdu,cdu,0.04544103682978201,cdu,spd,HE,0.440109017896621,0.006789787889160792,0.00348911188094847,1998
106,cdu,cdu,0.04589708690975397,cdu,spd,NW,0.471725243123395,-0.02461083515518875,-0.006718618319121683,1998
232,cdu,cdu,0.04647354104153201,cdu,spd,BY,0.475638688690092,-0.0259834368273128,-0.004905113375945014,1998
229,cdu,cdu,0.047384691347423014,cdu,spd,BY,0.468737588956989,-0.02613813731660608,-0.015625468103173723,1998
53,spd,spd,0.04740615956114197,spd,cdu,NW,0.472693764128259,-0.02343645961594809,-0.049150221919237846,1998
150,spd,spd,0.04817318775822099,spd,cdu,RP,0.469810001165637,0.012516225071597997,0.034311817379166665,1998
100,cdu,cdu,0.04937495635170103,cdu,spd,NW,0.469131922620295,-0.024208584205029804,-0.013267367583870093,1998
164,cdu,cdu,0.04982026176242699,cdu,spd,BW,0.43959404977061,0.009831007370409428,-0.0024916013504199253,1998
35,cdu,cdu,0.05011188080339796,spd,cdu,NI,0.466080688167433,-0.03665028213937138,-0.026451907560499144,1998
294,cdu,cdu,0.05017297712857999,spd,cdu,ST,0.385835095137421,0.0019191011230873523,0.03071571055781608,1998
178,spd,spd,0.05101982877727801,spd,cdu,BW,0.44542512318068,-0.01720809089475367,-0.038090247227347274,1998
134,spd,spd,0.051178478263367966,spd,cdu,HE,0.462818464932946,-0.022712987193749312,-0.019598220345758754,1998
224,cdu,cdu,0.051280890398038015,spd,cdu,BY,0.478362573099415,-0.040281954372468676,-0.008161323744264037,1998
158,cdu,cdu,0.051633129871599015,cdu,spd,RP,0.462721239674372,-0.020559759247629705,0.002557531474924435,1998
160,spd,spd,0.053902835019358,spd,cdu,RP,0.456950168602473,-0.0031009937654345454,0.0210730334569032,1998
231,spd,spd,0.05488496996207198,spd,cdu,BY,0.479900888679715,-0.02322944453790088,-0.01917696424760884,1998
163,spd,spd,0.055373048163623984,spd,cdu,BW,0.433424510666373,-0.03118894000244271,-0.03403297622505902,1998
180,spd,spd,0.055678234603369015,spd,cdu,BW,0.468542055936722,-0.0490474706681952,-0.05624472761144372,1998
20,cdu,cdu,0.05596383094012497,cdu,spd,NI,0.494366928564978,0.010483349074569714,0.004483099437187832,1998
186,spd,spd,0.05609665738494396,spd,cdu,BW,0.449567981643701,-0.036786401881232944,-0.034704910356027185,1998
165,cdu,cdu,0.056411066955683986,spd,cdu,BW,0.458754816955684,-0.03640675533570953,-0.03374620703288672,1998
303,cdu,cdu,0.05656161298950002,spd,cdu,TH,0.337324970450957,0.020339780491519965,0.024275798916868596,1998
