country,volatility,n_elections.x,avg_parties_per_election,n_elections.y,volatility_rank,parties_rank
FRA,0.07831975292973863,3,4.666666666666667,3,1,25
HUN,0.07560424207679727,3,4,3,2,30
NZL,0.06852930349106567,3,4,3,3,30
ITA,0.06575682013425482,3,4.666666666666667,3,4,25
ROU,0.05916935836560265,3,5,3,5,22
IRL,0.05714512519968722,3,5,3,6,22
SVN,0.05643177567432008,3,5.666666666666667,3,7,14
CZE,0.055496714945561014,3,6.666666666666667,3,8,7
POL,0.0485895627731659,3,5.333333333333333,3,9,17
LVA,0.04746631658960533,3,6.666666666666667,3,10,7
SVK,0.045034316071493614,3,7,3,11,4
ESP,0.04327887142735366,3,4.666666666666667,3,12,25
NLD,0.036889159382368725,3,7,3,13,4
GBR,0.03647433908081989,3,3.3333333333333335,3,14,36
EST,0.03607331327575534,3,5.666666666666667,3,15,14
AUT,0.03541790489320478,3,5,3,16,22
LTU,0.0323966875078882,3,6.666666666666667,3,17,7
HRV,0.03224444356357224,3,4,3,18,30
PRT,0.03149640990450069,3,4,3,19,30
CYP,0.0307343407095974,3,5.333333333333333,3,20,17
GRC,0.0276242346477419,3,4,3,21,30
ISL,0.026430662590944398,3,7.666666666666667,3,22,2
LUX,0.026112899443694704,3,5.333333333333333,3,23,17
NOR,0.02575303852989898,3,5.333333333333333,3,24,17
DEU,0.02546044699043159,3,6,3,25,11
ISR,0.025351991549242527,3,7.666666666666667,3,26,2
DNK,0.025077067563272225,3,6.666666666666667,3,27,7
FIN,0.02188161837238343,3,6,3,28,11
JPN,0.021413526903551267,3,5.333333333333333,3,29,17
TUR,0.020598306154999937,3,4.666666666666667,3,30,25
CAN,0.0174304720197812,3,4,3,31,30
BEL,0.015443847359538583,3,8.333333333333334,3,32,1
CHE,0.015418229268395646,3,6,3,33,11
BGR,0.015178254914062278,3,5.666666666666667,3,34,14
SWE,0.015038032728217323,3,7,3,35,4
AUS,0.012870442474859058,3,4.333333333333333,3,36,29
MLT,0.0059083514344011046,3,2,3,37,37
