country,date,type,party,id,created_at,updated_at,party_id_source,seats,vote_share,votes,data_source,description,comment,data_json,election_id,party_id,alliance_id
AUS,1901-03-30,parliament,PP,6203,2024-08-15 07:30:26.238000,2024-08-15 07:30:26.240000,PROT,32,44.4,189294,barber,,,"{""seats_uncontested"": 6}",731,1898,
AUS,1901-03-30,parliament,FTP,6256,2024-08-15 07:30:26.399000,2024-08-15 07:30:26.401000,FT,26,34.2,145611,barber,,,{},731,1938,
AUS,1901-03-30,parliament,ALP,6401,2024-08-15 07:30:26.877000,2024-08-15 07:30:26.879000,ALP,15,19.4,82734,barber,,,{},731,1253,
AUS,1901-03-30,parliament,none,6224,2024-08-15 07:30:26.295000,2024-08-15 07:30:26.297000,Others,1,1.4,5815,barber,,,{},731,1396,
AUS,1901-03-30,parliament,one-seat,6335,2024-08-15 07:30:26.663000,2024-08-15 07:30:26.665000,Ind. Labor,1,0.6,2569,barber,Independet Labor Party (Queensland),,{},731,2299,
AUS,1903-12-16,parliament,PP,6179,2024-08-15 07:30:26.142000,2024-08-15 07:30:26.143000,PROT,26,29.7,214091,barber,,,"{""seats_uncontested"": 11}",730,1898,
AUS,1903-12-16,parliament,FTP,6169,2024-08-15 07:30:26.105000,2024-08-15 07:30:26.107000,FT,25,34.4,247774,barber,,,"{""seats_uncontested"": 4}",730,1938,
AUS,1903-12-16,parliament,ALP,6334,2024-08-15 07:30:26.657000,2024-08-15 07:30:26.659000,ALP,23,31,223163,barber,,,"{""seats_uncontested"": 2}",730,1253,
AUS,1903-12-16,parliament,one-seat,6278,2024-08-15 07:30:26.469000,2024-08-15 07:30:26.471000,Revenue Tariff,1,0.5,3546,barber,Revenue Tariff Party (Tasmania),,{},730,2299,
AUS,1903-12-16,parliament,none,6331,2024-08-15 07:30:26.642000,2024-08-15 07:30:26.644000,Others,0,4.5,32364,barber,,,{},730,1396,
AUS,1906-12-02,parliament,FTP,6391,2024-08-15 07:30:26.845000,2024-08-15 07:30:26.847000,Anti-Socialist,27,38.2,363257,barber,,,"{""seats_uncontested"": 3}",725,1938,
AUS,1906-12-02,parliament,ALP,6170,2024-08-15 07:30:26.111000,2024-08-15 07:30:26.113000,ALP,26,36.6,348711,barber,,,"{""seats_uncontested"": 3}",725,1253,
AUS,1906-12-02,parliament,PP,6180,2024-08-15 07:30:26.147000,2024-08-15 07:30:26.149000,PROT,16,16.4,156425,barber,,,"{""seats_uncontested"": 1}",725,1898,
AUS,1906-12-02,parliament,IPP-V,6258,2024-08-15 07:30:26.411000,2024-08-15 07:30:26.413000,Ind. Protectionist,4,4.8,46074,barber,,,{},725,1917,
AUS,1906-12-02,parliament,WAP,6208,2024-08-15 07:30:26.259000,2024-08-15 07:30:26.261000,WA Party,2,2.3,22154,barber,,,{},725,1906,
AUS,1906-12-02,parliament,none,6374,2024-08-15 07:30:26.783000,2024-08-15 07:30:26.785000,Others,0,1.2,11343,barber,,,{},725,1396,
AUS,1910-04-13,parliament,ALP,6277,2024-08-15 07:30:26.464000,2024-08-15 07:30:26.466000,ALP,43,50,660864,barber,,,"{""seats_uncontested"": 2}",747,1253,
AUS,1910-04-13,parliament,CLP,6326,2024-08-15 07:30:26.626000,2024-08-15 07:30:26.628000,LP,31,45.1,596350,barber,,,"{""seats_uncontested"": 2}",747,2285,
AUS,1910-04-13,parliament,none,6234,2024-08-15 07:30:26.323000,2024-08-15 07:30:26.325000,Others,1,4.5,59526,barber,,,{},747,1396,
AUS,1910-04-13,parliament,no-seat,6257,2024-08-15 07:30:26.405000,2024-08-15 07:30:26.407000,Independent Liberal,0,0.4,5842,barber,Independent Liberal,,{},747,2057,
AUS,1913-05-31,parliament,CLP,6222,2024-08-15 07:30:26.290000,2024-08-15 07:30:26.292000,LP,38,48.9,930076,barber,,,{},748,2285,
AUS,1913-05-31,parliament,ALP,6295,2024-08-15 07:30:26.521000,2024-08-15 07:30:26.523000,ALP,37,48.5,921099,barber,,,{},748,1253,
AUS,1913-05-31,parliament,none,6168,2024-08-15 07:30:26.100000,2024-08-15 07:30:26.102000,Others,0,2.6,49194,barber,,,{},748,1396,
AUS,1914-09-05,parliament,ALP,6299,2024-08-15 07:30:26.531000,2024-08-15 07:30:26.533000,ALP,42,50.9,858451,barber,,,"{""seats_uncontested"": 7}",724,1253,
AUS,1914-09-05,parliament,CLP,6221,2024-08-15 07:30:26.286000,2024-08-15 07:30:26.287000,LP,32,47.2,796397,barber,,,"{""seats_uncontested"": 6}",724,2285,
AUS,1914-09-05,parliament,none,6436,2024-08-15 07:30:27,2024-08-15 07:30:27.002000,Others,1,1.9,31915,barber,,,{},724,1396,
AUS,1917-05-05,parliament,NAT,6204,2024-08-15 07:30:26.243000,2024-08-15 07:30:26.245000,NAT,53,54.2,1021128,barber,,,"{""seats_uncontested"": 7}",750,1905,
AUS,1917-05-05,parliament,ALP,6333,2024-08-15 07:30:26.652000,2024-08-15 07:30:26.654000,ALP,22,43.9,827551,barber,,,"{""seats_uncontested"": 3}",750,1253,
AUS,1917-05-05,parliament,none,6236,2024-08-15 07:30:26.328000,2024-08-15 07:30:26.330000,Others,0,1.8,34755,barber,,,{},750,1396,
AUS,1919-12-13,parliament,NAT,6292,2024-08-15 07:30:26.515000,2024-08-15 07:30:26.517000,NAT,37,45.1,860519,barber,,,{},723,1905,
AUS,1919-12-13,parliament,ALP,6408,2024-08-15 07:30:26.908000,2024-08-15 07:30:26.910000,ALP,26,42.5,811244,barber,,,"{""seats_uncontested"": 2}",723,1253,
AUS,1919-12-13,parliament,VFU-V,6332,2024-08-15 07:30:26.647000,2024-08-15 07:30:26.649000,Victorian Farmers' Union,5,4.2,79839,barber,,,{},723,1929,
AUS,1919-12-13,parliament,NF-NSW,6260,2024-08-15 07:30:26.422000,2024-08-15 07:30:26.424000,Nationalist and Farmers,3,2.4,46730,barber,,,{},723,1918,
AUS,1919-12-13,parliament,NCP|NPA,6312,2024-08-15 07:30:26.584000,2024-08-15 07:30:26.585000,CP,2,0.9,17753,barber,,,{},723,184,
AUS,1919-12-13,parliament,I-Nat,6413,2024-08-15 07:30:26.933000,2024-08-15 07:30:26.935000,Ind. Nationalist,1,1.7,32507,barber,,,{},723,1903,
AUS,1919-12-13,parliament,FS-NSW,6244,2024-08-15 07:30:26.351000,2024-08-15 07:30:26.353000,Farmers and Settlers,1,1,19467,barber,,,{},723,1913,
